GANTT_FILE


# sequences   = 32
# motifs      = 99
motif length  = 10


species sequence lengths:

	human      : 2000
	orangutan  : 2000
	gibbon     : 2000
	baboon     : 2000
	macaque    : 2000
	galago     : 2000
	rabbit     : 2000
	gpig       : 2000
	mouse      : 2000
	nrat       : 2000
	squirrel   : 2000
	eushrew    : 2000
	megabat    : 2000
	microbat   : 2000
	orca       : 2000
	dolphin    : 2000
	sheep      : 2000
	cow        : 2000
	horse      : 2000
	rhino      : 2000
	cat        : 2000
	ferret     : 2000
	dog        : 2000
	walrus     : 2000
	panda      : 2000
	armadillo  : 2000
	elephant   : 2000
	manatee    : 2000
	turtle     : 2000
	chicken    : 1662
	wfrog      : 2000
	coelacanth : 2000


Motif number	Species   	Position	F/R	Match score
           4	panda     	674     	R	10      
           4	armadillo 	1042    	R	9       
           4	elephant  	1128    	R	9       
           4	elephant  	1547    	F	9       
           4	manatee   	414     	F	9       
           4	manatee   	746     	F	9       
           4	manatee   	1534    	F	9       
           4	turtle    	192     	R	8       
           4	chicken   	687     	R	8       
           4	chicken   	1486    	F	8       
           4	chicken   	1523    	F	8       
           4	chicken   	1547    	F	8       
           4	wfrog     	1930    	F	9       
           4	coelacanth	1949    	R	8       

           5	human     	1753    	F	10      
           5	orangutan 	1019    	F	8       
           5	orangutan 	1485    	F	8       
           5	gibbon    	1434    	R	9       
           5	baboon    	941     	R	8       
           5	baboon    	1460    	F	8       
           5	baboon    	1927    	F	8       
           5	macaque   	1752    	F	10      
           5	galago    	1759    	F	10      
           5	rabbit    	1449    	F	10      
           5	gpig      	1434    	F	10      
           5	mouse     	1283    	R	9       
           5	mouse     	1433    	F	9       
           5	nrat      	1482    	F	9       
           5	squirrel  	1486    	F	10      
           5	eushrew   	982     	R	9       
           5	megabat   	1428    	R	9       
           5	megabat   	1432    	F	9       
           5	microbat  	1427    	R	9       
           5	microbat  	1431    	F	9       
           5	orca      	1664    	F	10      
           5	dolphin   	1430    	R	9       
           5	dolphin   	1434    	F	9       
           5	sheep     	1656    	R	9       
           5	sheep     	1752    	R	9       
           5	sheep     	1756    	F	9       
           5	cow       	1647    	F	10      
           5	horse     	1753    	F	10      
           5	rhino     	1754    	F	10      
           5	cat       	1707    	F	10      
           5	ferret    	1485    	F	10      
           5	dog       	1707    	F	10      
           5	walrus    	1743    	F	10      
           5	panda     	808     	F	8       
           5	panda     	1266    	F	8       
           5	panda     	1424    	F	8       
           5	panda     	1427    	F	8       
           5	armadillo 	1759    	F	9       
           5	elephant  	1481    	R	9       
           5	elephant  	1485    	F	9       
           5	elephant  	1971    	F	9       
           5	manatee   	1465    	R	9       
           5	manatee   	1469    	F	9       
           5	turtle    	238     	F	8       
           5	turtle    	240     	R	8       
           5	turtle    	250     	R	8       
           5	turtle    	1512    	F	8       
           5	chicken   	389     	R	8       
           5	chicken   	778     	R	8       
           5	chicken   	781     	R	8       
           5	chicken   	901     	R	8       
           5	chicken   	905     	F	8       
           5	chicken   	1080    	R	8       
           5	chicken   	1317    	F	8       
           5	chicken   	1410    	F	8       
           5	chicken   	1441    	F	8       
           5	wfrog     	26      	R	8       
           5	wfrog     	27      	F	8       
           5	wfrog     	1588    	F	8       
           5	wfrog     	1670    	R	8       
           5	coelacanth	1915    	F	8       

           6	human     	1383    	F	10      
           6	orangutan 	1889    	F	10      
           6	gibbon    	1214    	R	8       
           6	gibbon    	1238    	F	8       
           6	gibbon    	1672    	F	8       
           6	baboon    	1932    	R	9       
           6	macaque   	1382    	F	10      
           6	galago    	1124    	F	8       
           6	galago    	1596    	F	8       
           6	galago    	1840    	F	8       
           6	rabbit    	984     	F	9       
           6	rabbit    	1075    	F	9       
           6	gpig      	715     	R	9       
           6	mouse     	86      	R	8       
           6	mouse     	319     	R	8       
           6	mouse     	560     	F	8       
           6	mouse     	873     	R	8       
           6	mouse     	1115    	F	8       
           6	mouse     	1536    	R	8       
           6	mouse     	1837    	F	8       
           6	nrat      	342     	R	8       
           6	nrat      	389     	R	8       
           6	nrat      	640     	F	8       
           6	nrat      	951     	R	8       
           6	nrat      	1161    	F	8       
           6	squirrel  	710     	R	9       
           6	squirrel  	1124    	F	9       
           6	eushrew   	1006    	F	9       
           6	megabat   	451     	R	9       
           6	megabat   	655     	R	9       
           6	megabat   	768     	F	9       
           6	microbat  	623     	R	10      
           6	orca      	1295    	F	10      
           6	dolphin   	1065    	F	10      
           6	sheep     	1393    	F	10      
           6	cow       	1286    	F	10      
           6	horse     	953     	R	9       
           6	horse     	1385    	F	9       
           6	rhino     	951     	R	9       
           6	rhino     	1386    	F	9       
           6	cat       	916     	R	9       
           6	ferret    	160     	R	8       
           6	ferret    	695     	R	8       
           6	ferret    	858     	F	8       
           6	ferret    	1021    	F	8       
           6	ferret    	1117    	F	8       
           6	dog       	1288    	F	9       
           6	dog       	1346    	F	9       
           6	walrus    	954     	R	9       
           6	walrus    	1378    	F	9       
           6	panda     	675     	R	9       
           6	armadillo 	1435    	F	9       
           6	elephant  	1097    	F	10      
           6	manatee   	1085    	F	9       
           6	manatee   	1736    	F	9       
           6	turtle    	562     	R	8       
           6	chicken   	796     	R	9       
           6	wfrog     	138     	R	7       
           6	wfrog     	379     	R	7       
           6	wfrog     	727     	F	7       
           6	wfrog     	734     	R	7       
           6	wfrog     	762     	R	7       
           6	wfrog     	834     	F	7       
           6	wfrog     	1128    	R	7       
           6	wfrog     	1260    	F	7       
           6	wfrog     	1734    	R	7       
           6	wfrog     	1742    	R	7       
           6	wfrog     	1886    	F	7       
           6	wfrog     	1929    	F	7       
           6	coelacanth	1953    	R	8       

           7	human     	573     	F	10      
           7	orangutan 	1077    	F	10      
           7	gibbon    	1354    	F	8       
           7	gibbon    	1676    	R	8       
           7	gibbon    	1848    	R	8       
           7	baboon    	1517    	F	10      
           7	macaque   	571     	F	9       
           7	galago    	555     	F	9       
           7	rabbit    	239     	F	9       
           7	gpig      	191     	F	8       
           7	gpig      	209     	F	8       
           7	gpig      	556     	F	8       
           7	gpig      	872     	F	8       
           7	mouse     	64      	F	8       
           7	mouse     	314     	F	8       
           7	nrat      	319     	F	8       
           7	squirrel  	5       	R	8       
           7	squirrel  	280     	R	8       
           7	squirrel  	528     	F	8       
           7	squirrel  	803     	R	8       
           7	squirrel  	814     	R	8       
           7	eushrew   	121     	F	9       
           7	megabat   	247     	F	9       
           7	microbat  	105     	R	8       
           7	microbat  	183     	F	8       
           7	microbat  	197     	F	8       
           7	microbat  	408     	R	8       
           7	microbat  	432     	F	8       
           7	microbat  	579     	F	8       
           7	orca      	443     	F	9       
           7	dolphin   	252     	F	9       
           7	sheep     	539     	F	10      
           7	cow       	428     	F	10      
           7	horse     	550     	F	9       
           7	rhino     	539     	F	10      
           7	cat       	493     	F	10      
           7	ferret    	63      	F	9       
           7	dog       	539     	F	9       
           7	walrus    	537     	F	10      
           7	panda     	266     	F	10      
           7	armadillo 	651     	F	8       
           7	armadillo 	1413    	R	8       
           7	elephant  	69      	F	8       
           7	elephant  	355     	F	8       
           7	manatee   	242     	F	9       
           7	turtle    	992     	F	9       
           7	chicken   	473     	R	8       
           7	chicken   	518     	F	8       
           7	chicken   	1566    	R	8       
           7	wfrog     	408     	F	9       
           7	coelacanth	1414    	F	9       

           8	human     	272     	F	9       
           8	orangutan 	771     	F	9       
           8	gibbon    	74      	R	8       
           8	gibbon    	963     	F	8       
           8	gibbon    	1179    	R	8       
           8	gibbon    	1220    	F	8       
           8	gibbon    	1653    	F	8       
           8	baboon    	65      	R	9       
           8	baboon    	1208    	F	9       
           8	macaque   	262     	F	9       
           8	macaque   	1421    	R	9       
           8	galago    	1750    	F	8       
           8	rabbit    	1745    	F	10      
           8	gpig      	1731    	F	10      
           8	mouse     	1983    	F	9       
           8	nrat      	703     	R	8       
           8	nrat      	928     	R	8       
           8	nrat      	1709    	F	8       
           8	squirrel  	1783    	F	10      
           8	eushrew   	1664    	F	10      
           8	megabat   	1730    	F	10      
           8	microbat  	1728    	F	10      
           8	orca      	1334    	R	9       
           8	dolphin   	1104    	R	9       
           8	sheep     	733     	R	8       
           8	sheep     	774     	F	8       
           8	sheep     	1278    	F	8       
           8	sheep     	1422    	R	8       
           8	sheep     	1747    	F	8       
           8	sheep     	1837    	F	8       
           8	cow       	1945    	F	9       
           8	horse     	1424    	R	9       
           8	rhino     	1425    	R	9       
           8	cat       	1536    	R	8       
           8	cat       	1698    	F	8       
           8	ferret    	1782    	F	10      
           8	dog       	478     	F	9       
           8	walrus    	1417    	R	9       
           8	panda     	1721    	F	10      
           8	armadillo 	916     	R	9       
           8	elephant  	873     	F	8       
           8	elephant  	1310    	R	8       
           8	elephant  	1476    	F	8       
           8	elephant  	1696    	F	8       
           8	elephant  	1809    	R	8       
           8	manatee   	1137    	R	9       
           8	turtle    	1831    	F	8       
           8	chicken   	936     	F	8       
           8	chicken   	1319    	R	8       
           8	wfrog     	162     	F	8       
           8	wfrog     	916     	F	8       
           8	wfrog     	1690    	F	8       
           8	coelacanth	1261    	R	8       
           8	coelacanth	1856    	F	8       

           9	human     	1616    	F	10      
           9	orangutan 	565     	R	8       
           9	orangutan 	1119    	R	8       
           9	orangutan 	1208    	R	8       
           9	orangutan 	1625    	R	8       
           9	orangutan 	1953    	F	8       
           9	gibbon    	1813    	F	8       
           9	gibbon    	1816    	F	8       
           9	baboon    	1009    	R	8       
           9	macaque   	1615    	F	10      
           9	galago    	676     	R	8       
           9	galago    	1622    	F	8       
           9	galago    	1625    	F	8       
           9	galago    	1674    	F	8       
           9	galago    	1788    	R	8       
           9	galago    	1839    	R	8       
           9	rabbit    	1529    	R	9       
           9	gpig      	1514    	R	9       
           9	mouse     	1766    	R	9       
           9	nrat      	1815    	R	9       
           9	squirrel  	1352    	F	10      
           9	eushrew   	1143    	F	9       
           9	eushrew   	1155    	F	9       
           9	eushrew   	1239    	F	9       
           9	eushrew   	1368    	F	9       
           9	eushrew   	1446    	R	9       
           9	megabat   	282     	R	8       
           9	megabat   	377     	R	8       
           9	megabat   	480     	F	8       
           9	megabat   	1348    	F	8       
           9	megabat   	1461    	R	8       
           9	megabat   	1512    	R	8       
           9	megabat   	1699    	R	8       
           9	microbat  	236     	R	8       
           9	microbat  	334     	R	8       
           9	microbat  	340     	R	8       
           9	microbat  	452     	R	8       
           9	microbat  	732     	R	8       
           9	microbat  	735     	R	8       
           9	microbat  	919     	F	8       
           9	microbat  	994     	R	8       
           9	microbat  	1018    	F	8       
           9	microbat  	1073    	R	8       
           9	microbat  	1296    	F	8       
           9	microbat  	1334    	R	8       
           9	microbat  	1339    	F	8       
           9	microbat  	1460    	R	8       
           9	microbat  	1512    	R	8       
           9	microbat  	1679    	R	8       
           9	microbat  	1836    	F	8       
           9	microbat  	1946    	F	8       
           9	orca      	28      	R	9       
           9	orca      	1746    	R	9       
           9	dolphin   	1515    	R	9       
           9	dolphin   	1746    	R	9       
           9	sheep     	667     	R	8       
           9	sheep     	978     	R	8       
           9	sheep     	1397    	R	8       
           9	sheep     	1449    	F	8       
           9	sheep     	1530    	F	8       
           9	sheep     	1533    	F	8       
           9	sheep     	1785    	R	8       
           9	cow       	1728    	R	9       
           9	horse     	1617    	F	10      
           9	rhino     	1618    	F	10      
           9	cat       	1572    	F	10      
           9	ferret    	1350    	F	9       
           9	ferret    	1565    	R	9       
           9	dog       	1570    	F	10      
           9	walrus    	1608    	F	10      
           9	panda     	1313    	F	10      
           9	armadillo 	996     	F	8       
           9	armadillo 	1003    	F	8       
           9	armadillo 	1304    	F	8       
           9	armadillo 	1458    	F	8       
           9	armadillo 	1496    	R	8       
           9	armadillo 	1526    	F	8       
           9	armadillo 	1617    	F	8       
           9	armadillo 	1665    	F	8       
           9	armadillo 	1671    	F	8       
           9	armadillo 	1785    	R	8       
           9	armadillo 	1827    	R	8       
           9	armadillo 	1836    	R	8       
           9	armadillo 	1949    	R	8       
           9	armadillo 	1952    	R	8       
           9	elephant  	1545    	R	9       
           9	manatee   	1532    	R	9       
           9	turtle    	196     	F	7       
           9	turtle    	489     	F	7       
           9	turtle    	1469    	F	7       
           9	turtle    	1748    	F	7       
           9	chicken   	1442    	F	8       
           9	chicken   	1502    	R	8       
           9	chicken   	1518    	R	8       
           9	chicken   	1526    	R	8       
           9	wfrog     	1804    	R	8       
           9	coelacanth	1946    	R	9       

          10	human     	1840    	F	9       
          10	orangutan 	221     	F	9       
          10	gibbon    	52      	F	8       
          10	gibbon    	58      	R	8       
          10	gibbon    	398     	R	8       
          10	gibbon    	992     	R	8       
          10	gibbon    	1462    	R	8       
          10	gibbon    	1646    	R	8       
          10	gibbon    	1804    	F	8       
          10	gibbon    	1858    	R	8       
          10	baboon    	368     	F	8       
          10	baboon    	790     	F	8       
          10	baboon    	877     	R	8       
          10	baboon    	1147    	R	8       
          10	baboon    	1597    	R	8       
          10	baboon    	1712    	R	8       
          10	baboon    	1723    	F	8       
          10	baboon    	1724    	R	8       
          10	baboon    	1910    	F	8       
          10	macaque   	1839    	F	9       
          10	galago    	1846    	F	10      
          10	rabbit    	455     	F	9       
          10	rabbit    	664     	R	9       
          10	rabbit    	1014    	F	9       
          10	rabbit    	1536    	F	9       
          10	gpig      	57      	R	9       
          10	gpig      	1022    	F	9       
          10	gpig      	1521    	F	9       
          10	mouse     	1773    	F	10      
          10	nrat      	1822    	F	10      
          10	squirrel  	1573    	F	9       
          10	eushrew   	618     	F	8       
          10	eushrew   	623     	F	8       
          10	eushrew   	1123    	F	8       
          10	eushrew   	1259    	R	8       
          10	eushrew   	1448    	F	8       
          10	eushrew   	1449    	R	8       
          10	eushrew   	1565    	F	8       
          10	eushrew   	1566    	R	8       
          10	eushrew   	1571    	R	8       
          10	eushrew   	1622    	F	8       
          10	eushrew   	1931    	R	8       
          10	megabat   	1519    	F	9       
          10	microbat  	1519    	F	10      
          10	orca      	1753    	F	9       
          10	dolphin   	1522    	F	9       
          10	dolphin   	1753    	F	9       
          10	sheep     	1821    	F	9       
          10	cow       	1735    	F	9       
          10	horse     	1312    	F	9       
          10	horse     	1841    	F	9       
          10	rhino     	1841    	F	9       
          10	cat       	1794    	F	9       
          10	ferret    	1572    	F	9       
          10	dog       	1794    	F	10      
          10	walrus    	1830    	F	9       
          10	panda     	1511    	F	9       
          10	armadillo 	831     	F	9       
          10	armadillo 	1806    	R	9       
          10	armadillo 	1843    	F	9       
          10	elephant  	497     	F	9       
          10	elephant  	1227    	F	9       
          10	manatee   	1211    	F	9       
          10	turtle    	556     	R	8       
          10	chicken   	687     	R	8       
          10	chicken   	975     	R	8       
          10	chicken   	1012    	F	8       
          10	chicken   	1013    	R	8       
          10	chicken   	1487    	R	8       
          10	wfrog     	1931    	R	8       
          10	coelacanth	834     	R	7       
          10	coelacanth	1193    	R	7       
          10	coelacanth	1194    	R	7       
          10	coelacanth	1948    	F	7       
          10	coelacanth	1948    	R	7       

          11	human     	1884    	F	10      
          11	orangutan 	1927    	F	9       
          11	gibbon    	277     	R	8       
          11	baboon    	941     	F	8       
          11	baboon    	1760    	R	8       
          11	macaque   	1883    	F	10      
          11	galago    	1890    	F	9       
          11	rabbit    	720     	F	9       
          11	gpig      	895     	F	8       
          11	gpig      	959     	R	8       
          11	gpig      	1071    	R	8       
          11	gpig      	1185    	R	8       
          11	gpig      	1565    	F	8       
          11	gpig      	1618    	R	8       
          11	gpig      	1739    	F	8       
          11	mouse     	1817    	F	9       
          11	nrat      	1866    	F	9       
          11	squirrel  	1617    	F	9       
          11	eushrew   	1194    	F	9       
          11	eushrew   	1497    	F	9       
          11	eushrew   	1874    	F	9       
          11	megabat   	1563    	F	10      
          11	microbat  	1563    	F	9       
          11	orca      	1325    	F	9       
          11	orca      	1797    	F	9       
          11	dolphin   	1095    	F	9       
          11	dolphin   	1565    	F	9       
          11	dolphin   	1797    	F	9       
          11	sheep     	1423    	F	9       
          11	cow       	1316    	F	9       
          11	horse     	784     	F	8       
          11	horse     	1112    	R	8       
          11	horse     	1565    	F	8       
          11	horse     	1808    	F	8       
          11	horse     	1885    	F	8       
          11	rhino     	1885    	F	9       
          11	cat       	1838    	F	10      
          11	ferret    	1143    	R	9       
          11	ferret    	1616    	F	9       
          11	dog       	1838    	F	9       
          11	walrus    	1874    	F	9       
          11	panda     	84      	F	8       
          11	panda     	814     	F	8       
          11	panda     	852     	F	8       
          11	panda     	909     	R	8       
          11	panda     	1217    	R	8       
          11	panda     	1246    	R	8       
          11	panda     	1555    	F	8       
          11	panda     	1654    	R	8       
          11	panda     	1729    	F	8       
          11	armadillo 	1887    	F	10      
          11	elephant  	1596    	F	9       
          11	manatee   	1583    	F	10      
          11	turtle    	822     	R	7       
          11	turtle    	1070    	F	7       
          11	turtle    	1750    	F	7       
          11	chicken   	879     	R	9       
          11	wfrog     	1917    	F	8       
          11	coelacanth	894     	F	7       
          11	coelacanth	1855    	R	7       
          11	coelacanth	1869    	R	7       
          11	coelacanth	1955    	F	7       

          12	human     	1716    	F	9       
          12	orangutan 	967     	R	8       
          12	orangutan 	973     	R	8       
          12	orangutan 	1805    	R	8       
          12	orangutan 	1883    	R	8       
          12	orangutan 	1905    	R	8       
          12	orangutan 	1913    	R	8       
          12	gibbon    	239     	R	8       
          12	gibbon    	955     	F	8       
          12	gibbon    	1072    	R	8       
          12	gibbon    	1696    	F	8       
          12	gibbon    	1965    	F	8       
          12	gibbon    	1966    	F	8       
          12	gibbon    	1971    	F	8       
          12	baboon    	329     	R	9       
          12	macaque   	1715    	F	9       
          12	galago    	1722    	F	9       
          12	rabbit    	1412    	F	9       
          12	gpig      	1397    	F	9       
          12	mouse     	1632    	F	9       
          12	nrat      	1681    	F	9       
          12	squirrel  	1449    	F	9       
          12	eushrew   	579     	F	9       
          12	eushrew   	1330    	F	9       
          12	megabat   	1395    	F	9       
          12	microbat  	1298    	F	9       
          12	orca      	1627    	F	9       
          12	dolphin   	1397    	F	9       
          12	dolphin   	1627    	R	9       
          12	dolphin   	1930    	R	9       
          12	sheep     	1719    	F	9       
          12	cow       	1610    	F	9       
          12	horse     	1716    	F	9       
          12	rhino     	1274    	F	9       
          12	rhino     	1717    	F	9       
          12	cat       	1670    	F	9       
          12	ferret    	1448    	F	9       
          12	dog       	1670    	F	9       
          12	dog       	1971    	R	9       
          12	walrus    	1706    	F	9       
          12	panda     	786     	R	9       
          12	panda     	1411    	F	9       
          12	armadillo 	1719    	F	9       
          12	elephant  	1448    	F	9       
          12	manatee   	1432    	F	9       
          12	manatee   	1716    	R	9       
          12	turtle    	7       	R	8       
          12	chicken   	1034    	F	8       
          12	chicken   	1285    	R	8       
          12	chicken   	1503    	R	8       
          12	chicken   	1509    	R	8       
          12	wfrog     	781     	R	8       
          12	wfrog     	1801    	R	8       
          12	wfrog     	1802    	R	8       
          12	coelacanth	1361    	F	8       
          12	coelacanth	1844    	F	8       
          12	coelacanth	1938    	R	8       

          13	human     	1214    	F	9       
          13	human     	1630    	F	9       
          13	human     	1716    	F	9       
